Item,Quantidade,Unid.,Tipo Cota,Descrição,Vl. Unitário,Vl. Total
23,1500,AMP,Aberta,ÁGUA DESTILADA COM 5ML,"R$0,36","R$540,00"
24,375,FRC,Aberta,ALBENDAZOL 40 MG/ML SUSP. ORAL - FRC C/ 10 ML,"R$4,36","R$1.635,00"
25,150,FRC,Aberta,ALBUMINA HUMANA 20% 50 ML,"R$233,67","R$35.050,50"
26,750,COMP,Aberta,ALENDRONATO SÓDICO 70 MG,"R$3,21","R$2.407,50"
27,22500,COMP,Aberta,ALOPURINOL 300MG,"R$0,35","R$7.875,00"
28,3150,COMP,Aberta,"ALPRAZOLAM 0,5 MG","R$0,36","R$1.134,00"
29,6750,COMP,Aberta,ALPRAZOLAM 1 MG,"R$0,26","R$1.755,00"
30,2250,COMP,Aberta,ALPRAZOLAM 2 MG,"R$0,59","R$1.327,50"
31,113,TB,Aberta,"AMINOÁCIDOS, CLORAFENICOL, VITAMINA A, ANÁLOGOS EDERIVADOS - POMADA OFTÁLMICA - TB C/ 3,5 G.","R$11,30","R$1.276,90"
32,6000,COMP,Aberta,AMINOFILINA 100MG,"R$0,18","R$1.080,00"
33,900,COMP,Aberta,AMOXICILINA + CLAVULANATO DE POTÁSSIO 875/125 MG,"R$6,25","R$5.625,00"
34,750,FRC,Aberta,"AMOXICILINA 400MG/5ML, ÁCIDO CLAVULÂNIO 57MG/5MLSUSPENSÃO FRASCO COM 70 ML","R$36,63","R$27.472,50"
35,900,COMP,Aberta,AMOXICILINA 500MG + CLAVULANATO DE POTÁSSIO 125MG,"R$3,23","R$2.907,00"
36,1125,COMP,Aberta,"APIXABANA 2,5 MG","R$4,33","R$4.871,25"
37,1125,COMP,Aberta,APIXABANA 5 MG,"R$4,33","R$4.871,25"
38,450,COMP,Aberta,ARIPIPRAZOL 15MG,"R$6,75","R$3.037,50"
39,375,FRC,Aberta,"AZITROMICINA 40 MG/ML PÓ PARA SUSPENSÃO ORAL X 15 ML +DILUENTE FR PLA X 9 ML + SER. DOSADORA","R$24,20","R$9.075,00"
40,9000,COMP,Aberta,AZITROMICINA 500MG,"R$4,72","R$42.480,00"
41,4500,COMP,Aberta,BENFOTIAMINA 150 MG,"R$2,00","R$9.000,00"
42,1125,COMP,Aberta,BENZOATO ALOGLIPTINA 25MG,"R$2,79","R$3.138,75"
43,900,COMP,Aberta,BENZOATO ALOGLIPTINA 25MG + PIOGLITAZONA 30MG,"R$4,34","R$3.906,00"
44,45000,CP,Aberta,BESILATO DE ANLODIPINO 5 MG,"R$0,35","R$15.750,00"
45,450,CP,Aberta,BESILATO DE ANLODIPINO 5MG + ATENOLOL 25MG,"R$1,82","R$819,00"
46,4500,COMP,Aberta,"BESILATO DE LEVANLODIPINO 2,5 MG","R$1,55","R$6.975,00"
47,7500,CP,Aberta,BETAISTINA DICLORIDRATO 16MG,"R$0,31","R$2.325,00"
48,13500,CP,Aberta,BETAISTINA DICLORIDRATO 24MG,"R$0,38","R$5.130,00"
49,38,AMP,Aberta,"BICARBONATO DE SÓDIO 8,4% SOLUÇÃO EM FRASCO DE VIDROINCOLOR C/10 ML","R$1,13","R$42,94"
50,750,COMP,Aberta,BISACODIL 5MG,"R$0,30","R$225,00"
51,22500,CP,Aberta,BISSULFATO DE CLOPIDOGREL 75 MG,"R$0,69","R$15.525,00"
52,19,FRC,Aberta,"BRINZOLAMIDA 10MG/ML,DEXTROTARTARATO DEBRIMONIDINA  2MG/ML MARCA SIMBRIZA","R$94,68","R$1.798,92"
53,4500,CP,Aberta,BROMAZEPAM 3 MG,"R$0,39","R$1.755,00"
54,375,FRC,Aberta,"BROMETO DE IPRATRÓPIO 0,250 MG/ML C/ 20 ML","R$3,80","R$1.425,00"
55,375,FRC,Aberta,BROMIDRATO DE FENOTEROL GOTAS 5MG/ML FRC COM 20 ML,"R$9,43","R$3.536,25"
56,1500,AMP,Aberta,BROMOPRIDA 05 MG/ML SOL. INJETAVEL - AMP. C/ 2 ML,"R$2,55","R$3.825,00"
57,7500,COMP,Aberta,BROMOPRIDA 10 MG,"R$0,77","R$5.775,00"
58,1875,FRC,Aberta,BROMOPRIDA 4 MG/ML GTS COM 20 ML,"R$10,00","R$18.750,00"
59,375,FRC,Aberta,BUDESONIDA 32 MCG SUSPENSÃO NASAL 10 ML - C/ 120 DOSES,"R$13,70","R$5.137,50"
60,375,FRC,Aberta,"BUDESONIDA 50 MCG SUSPENSÃO NASAL COM 10 ML AQUOSOCOM 120 DOSES","R$27,43","R$10.286,25"
61,750,CP,Aberta,BUPROPIONA 150MG,"R$1,75","R$1.312,50"
62,6000,CP,Aberta,BUTILBROMETO DE ESCOPOLAMINA 10 MG,"R$1,01","R$6.060,00"
63,11250,CP,Aberta,"BUTILBROMETO DE ESCOPOLAMINA 10 MG + DIPIRONA SÓDICA250 MG","R$1,10","R$12.375,00"
64,2250,AMP,Aberta,"BUTILBROMETO DE ESCOPOLAMINA 20 MG + DIPIRONA SÓDICA2.500 MG INJETÁVEL - AMP. C/ 5 ML","R$4,27","R$9.607,50"
65,750,AMP,Aberta,"BUTILBROMETO DE ESCOPOLAMINA 20 MG/ML - SOL. INJETÁVELC/ 1 ML","R$2,71","R$2.032,50"
66,300,FRC,Aberta,"CARBAMAZEPINA 2%  SUSPENSÃO ORAL 20 MG/ML - FR C/ 100ML","R$13,60","R$4.080,00"
67,3750,COMP,Aberta,CARBAMAZEPINA 200MG,"R$0,23","R$862,50"
68,3750,COMP,Aberta,CARBAMAZEPINA 400MG,"R$0,77","R$2.887,50"
69,4500,COMP,Aberta,CARBONATO DE CALCIO 500MG,"R$0,78","R$3.510,00"
70,6750,COMP,Aberta,CARBONATO DE CÁLCIO 600 + VITAMINA D 400 UI,"R$1,24","R$8.370,00"
71,4500,COMP,Aberta,CARBONATO DE LÍTIO 300MG,"R$0,62","R$2.790,00"
72,188,FRC,Aberta,"CARBOXIMETILCELULOSE SÓDICA 0,5%  SOLUÇÃO OFTÁLMICA-FR C/ 10 ML","R$29,84","R$5.609,92"
73,225,FRC,Aberta,"CARMELOSE SÓDICA;GLICEROL;HIALUNORATO DESÓDIO;ERITRITOL;ÁCIDO BÓRICO;BORATO DE SÓDIODECAHIDRATADO;CITRATO DE SÓDIO DIIDRATADO;CLORETO DEPOTÁSSIO;CLORETO DE CÁLCIO DIIDRATADO;CLORETO DEMAGNÉSIO HEXAIDRATADO;PURITE SOLUÇÃO ESTÉRIL COM 15ML","R$26,19","R$5.892,75"
74,15000,CP,Aberta,"CARVEDILOL 12,5 MG","R$0,34","R$5.100,00"
75,4500,COMP,Aberta,CARVEDILOL 25 MG,"R$1,17","R$5.265,00"
76,7500,CP,Aberta,"CARVEDILOL 3,125MG","R$0,26","R$1.950,00"
77,18750,CP,Aberta,"CARVEDILOL 6,25 MG","R$0,29","R$5.437,50"
78,7500,CP,Aberta,CEFALEXINA 500 MG - CÁPSULA,"R$1,47","R$11.025,00"
79,2250,AMP,Aberta,"CEFTRIAXONA 1 G INJETÁVEL INTRAMUSCULAR ACOMPANHADODE AMPOLA DE DILUENTE C/ 3,5 ML","R$18,02","R$40.545,00"
80,375,AMP,Aberta,"CEFTRIAXONA 1 G INJETÁVEL INTRAVENOSA COM DILUENTE DE10ML","R$20,61","R$7.728,75"
81,2250,AMP,Aberta,"CEFTRIAXONA 500 MG INJETÁVEL INTRAMUSCULAR COMDILUENTE 3,5 ML","R$17,22","R$38.745,00"
82,375,TB,Aberta,"CETOCONAZOL 20 MG, BETAMETASONA 0,5 MG CREME  - TUBOCOM 30 G","R$12,27","R$4.601,25"
83,750,COMP,Aberta,CETOCONAZOL 200MG,"R$2,06","R$1.545,00"
84,375,TB,Aberta,"CETOCONAZOL 20MG, DIPROPIONATO DE BETAMETASONA0,64MG, SULFATO DE NEOMICINA 2,5 MG CREME - TUBO COM30G","R$13,74","R$5.152,50"
85,225,TB,Aberta,CETOCONAZOL CREME DERMATOLÓGICO 20 MG - TB C/ 30G,"R$6,61","R$1.487,25"
86,3750,COMP,Aberta,CETOPROFENO 100 MG,"R$1,23","R$4.612,50"
87,750,AMP,Aberta,CETOPROFENO 100MG INTRAVENOSO - AMP. COM 2ML,"R$7,10","R$5.325,00"
88,750,FRC,Aberta,CETOPROFENO 20 MG/ ML GOTAS C/ 20 ML,"R$8,35","R$6.262,50"
89,5250,COMP,Aberta,CETOPROFENO 50 MG,"R$0,79","R$4.147,50"
90,1500,AMP,Aberta,CETOPROFENO 50 MG/ML INJETÁVEL - AMP. C/ 2ML,"R$3,59","R$5.385,00"
91,9000,COMP,Aberta,CILOSTAZOL 100MG,"R$0,90","R$8.100,00"
92,9000,COMP,Aberta,CILOSTAZOL 50MG,"R$0,37","R$3.330,00"
93,1500,AMP,Aberta,CIMETIDINA 150MG/ML INJETÁVEL AMP. COM 2 ML,"R$1,66","R$2.490,00"
94,3750,COMP,Aberta,CIMETIDINA 200 MG,"R$0,64","R$2.400,00"
95,3750,COMP,Aberta,CINARIZINA 25MG,"R$0,20","R$750,00"
96,3750,COMP,Aberta,CINARIZINA 75MG,"R$0,34","R$1.275,00"
97,9000,CP,Aberta,CITALOPRAN 20MG,"R$1,09","R$9.810,00"
98,750,COMP,Aberta,CLARITROMICINA 500 MG - COMPRIMIDO REVESTIDO,"R$5,76","R$4.320,00"
99,2250,CP,Aberta,CLINDAMICINA 300 MG,"R$2,48","R$5.580,00"
100,37500,COMP,Aberta,CLONAZEPAN 02MG,"R$0,17","R$6.375,00"
101,2250,FRC,Aberta,"CLONAZEPAN 2,5 MG GOTAS - FR C/ 20 ML","R$4,78","R$10.755,00"
102,750,CP,Aberta,"CLONIDINA 0,100MG","R$0,22","R$165,00"
103,225,TB,Aberta,"CLORANFENICOL, DESOXIRRIBONUCLEASE, FIBRINOLISINAPOMADA COM 30 GRS","R$53,46","R$12.028,50"
104,375,AMP,Aberta,"CLORETO DE POTÁSSIO 19,1 % AMP. C/ 10 ML","R$0,39","R$146,25"
105,1875,CP,Aberta,CLORETO DE POTÁSSIO 600MG,"R$0,66","R$1.237,50"
106,7500,AMP,Aberta,"CLORETO DE SODIO 0,9% - AMP. COM 10 ML","R$0,62","R$4.650,00"
107,3000,FRC,Aberta,"CLORETO DE SÓDIO 9MG/ML + CLORETO BENZALCÔNICO GOTASSOL. NASAL - FR C/ 30 ML","R$2,88","R$8.640,00"
108,1875,FRC,Aberta,"CLORIDRATO DE AMBROXOL 15 MG/5ML XAROPE INFANTIL -FRASCO COM 120ML + COPO MEDIDOR","R$9,99","R$18.731,25"
109,1875,FRC,Aberta,"CLORIDRATO DE AMBROXOL 6 MG/ML  XAROPE ADULTO -FRASCO COM 120ML +  COPO MEDIDOR","R$18,02","R$33.787,50"
110,9000,CP,Aberta,CLORIDRATO DE AMIODARONA 100 MG,"R$0,43","R$3.870,00"
111,38,AMP,Aberta,CLORIDRATO DE AMIODARONA 150 MG/ML - AMP. C/ 3 ML,"R$6,73","R$255,74"
112,18000,COMP,Aberta,CLORIDRATO DE AMIODARONA 200 MG,"R$0,71","R$12.780,00"
113,3000,CP,Aberta,CLORIDRATO DE CICLOBENZAPRINA 10 MG,"R$0,66","R$1.980,00"
114,4500,COMP,Aberta,CLORIDRATO DE CICLOBENZAPRINA 5MG,"R$0,28","R$1.260,00"
115,188,FRC,Aberta,"CLORIDRATO DE CIPROFLOXACINO 2 MG + HIDROCOSTISONA 10MG - FRASCO COM  5 ML SOLUÇÃO OTOLÓGICA ACOMPANHADODE CONTA GOTAS","R$31,54","R$5.929,52"
116,3750,COMP,Aberta,CLORIDRATO DE CIPROFLOXACINO 500MG,"R$1,08","R$4.050,00"
117,2250,COMP,Aberta,CLORIDRATO DE CLOMIPRAMINA 25MG,"R$0,79","R$1.777,50"
118,750,COMP,Aberta,"CLORIDRATO DE CLONIDINA 0,150 MG","R$0,26","R$195,00"
119,750,COMP,Aberta,"CLORIDRATO DE CLONIDINA 0,200 MG","R$0,33","R$247,50"
120,150,AMP,Aberta,"CLORIDRATO DE CLORPROMAZINA 25 MG/ 5 ML SOL. INJETÁVEL- AMP. 5 ML","R$2,22","R$333,00"
121,1500,CP,Aberta,CLORIDRATO DE DILTIAZEN 60MG,"R$0,44","R$660,00"
122,750,CP,Aberta,CLORIDRATO DE DILTIAZEN 90MG,"R$1,75","R$1.312,50"
123,38,AMP,Aberta,"CLORIDRATO DE DOBUTAMINA 12,5 MG","R$13,68","R$519,84"
124,1500,COMP,Aberta,CLORIDRATO DE DOXICICLINA 100MG,"R$0,72","R$1.080,00"
125,6000,COMP,Aberta,"CLORIDRATO DE DULOXETINA 30 MG CAPSULA DURA LIB.RETARD","R$1,67","R$10.020,00"
126,4500,COMP,Aberta,"CLORIDRATO DE DULOXETINA COM 60 MG CAP DURA LIBRETARD","R$3,30","R$14.850,00"
127,1500,COMP,Aberta,CLORIDRATO DE FENAZOPIRIDINA 100MG,"R$0,48","R$720,00"
128,7500,COMP,Aberta,CLORIDRATO DE FLUOXETINA 20MG,"R$0,70","R$5.250,00"
129,18750,CP,Aberta,CLORIDRATO DE HIDRALAZINA 25 MG,"R$0,32","R$6.000,00"
130,11250,COMP,Aberta,CLORIDRATO DE HIDRALAZINA 50MG,"R$0,42","R$4.725,00"
131,9750,COMP,Aberta,CLORIDRATO DE IMIPRAMINA 25MG,"R$0,48","R$4.680,00"
132,375,FRC,Aberta,"CLORIDRATO DE LEVOMEPROMAZINA 40 MG/ML SOLUÇÃO ORAL- FRC C/ 20 ML","R$11,05","R$4.143,75"
133,11250,COMP,Aberta,CLORIDRATO DE LEVOMEPROMAZINE 100 MG,"R$0,92","R$10.350,00"
134,6000,COMP,Aberta,CLORIDRATO DE LEVOMEPROMAZINE 25 MG,"R$0,49","R$2.940,00"
135,75,TB,Aberta,CLORIDRATO DE LIDOCAINA 2% GELÉIA COM 30 G,"R$5,76","R$432,00"
136,75,AMP,Aberta,"CLORIDRATO DE LIDOCAINA 2% INJETÁVEL SEM VASOCONSTRITOR FRASCO 20ML","R$12,83","R$962,25"
137,2250,COMP,Aberta,CLORIDRATO DE MECLIZINA 25 MG,"R$0,60","R$1.350,00"
138,2250,COMP,Aberta,CLORIDRATO DE MECLIZINA 50 MG,"R$2,19","R$4.927,50"
139,3750,COMP,Aberta,CLORIDRATO DE MEMANTINA 10 MG,"R$0,76","R$2.850,00"
140,750,AMP,Aberta,"CLORIDRATO DE METOCLOPRAMIDA 5MG/ML SOL. INJETAVEL -AMP. C/ 2ML","R$1,15","R$862,50"
141,7500,COMP,Aberta,CLORIDRATO DE NEBIVOLOL 5 MG,"R$1,36","R$10.200,00"
142,150,AMP,Aberta,CLORIDRATO DE ONDANSETRONA 4MG AMPOLA 2ML,"R$3,13","R$469,50"
143,1500,COMP,Aberta,CLORIDRATO DE PIOGLITAZONA 30 MG,"R$2,36","R$3.540,00"
144,2250,COMP,Aberta,CLORIDRATO DE PROPAFENONA 300MG,"R$1,24","R$2.790,00"
145,1695,COMP,Aberta,CLORIDRATO DE SAXAGLIPTINA 5 MG,"R$3,59","R$6.085,05"
146,45000,CP,Aberta,CLORIDRATO DE SERTRALINA 50 MG,"R$0,69","R$31.050,00"
147,750,CP,Aberta,CLORIDRATO DE SOTALOL 120MG,"R$0,87","R$652,50"
148,750,COMP,Aberta,CLORIDRATO DE SOTALOL 160MG,"R$1,31","R$982,50"
149,7500,COMP,Aberta,CLORIDRATO DE TRAMADOL 100MG,"R$5,34","R$40.050,00"
150,750,AMP,Aberta,CLORIDRATO DE TRAMADOL 100MG INJ. - AMP. C/ 2 ML,"R$7,86","R$5.895,00"
151,5250,CP,Aberta,CLORIDRATO DE TRAMADOL 50MG,"R$0,77","R$4.042,50"
152,1500,COMP,Aberta,CLORIDRATO DE VENLAFAXINA 150MG,"R$2,13","R$3.195,00"
153,2250,COMP,Aberta,CLORIDRATO DE VENLAFAXINA 75MG,"R$1,16","R$2.610,00"
154,4200,COMP,Aberta,CLORIDRATO DE VILDAGLIPTINA 50 MG,"R$3,47","R$14.574,00"
155,4500,CP,Aberta,"CLORTALIDONA 12,5 MG","R$0,22","R$990,00"
156,4500,CP,Aberta,CLORTALIDONA 25MG,"R$0,38","R$1.710,00"
157,3000,COMP,Aberta,CLORTALIDONA 50MG,"R$0,38","R$1.140,00"
158,1500,AMP,Aberta,COMPLEXO B INJETÁVEL - AMPOLA COM 2 ML,"R$4,70","R$7.050,00"
159,750,COMP,Aberta,COMPLEXO DE HIDÓXIDO DE FERRO III 100 MG,"R$4,91","R$3.682,50"
160,27000,CP,Aberta,CUMARINA 15 MG + TROXERRUTINA 90 MG,"R$1,80","R$48.600,00"
161,188,TB,Aberta,"CUMARINA 5 MG/ML, HEPARINA SÓDICA 50 UI/ML CREME COM240 ML","R$41,80","R$7.858,40"
162,1875,COMP,Aberta,DAPAGLIFLOZINA 10 MG,"R$4,91","R$9.206,25"
163,1125,COMP,Aberta,"DAPAGLIFLOZINA 5 MG,CLORIDRATO DE METFORMINA 1000 MG","R$3,71","R$4.173,75"
164,375,FRC,Aberta,"DELTAMETRINA  0,2 MG/ML SHAMPOO  - FRC C/ 100 ML","R$15,33","R$5.748,75"
165,3750,COMP,Aberta,"DEPAKOTE SPRINKLE - DIVALPROATO DE SÓDIO 125MG (ÉNECESSÁRIO O MEDICAMENTO ÉTICO)","R$1,01","R$3.787,50"
166,300,FRC,Aberta,"DESLORATADINA 0,5 MG COM 60 ML","R$19,34","R$5.802,00"
167,3000,AMP,Aberta,"DEXAMETASONA 4 MG INJETÁVEL AMP. COM 2,5 ML","R$4,73","R$14.190,00"
168,1500,COMP,Aberta,DEXAMETASONA 4MG,"R$0,29","R$435,00"
169,900,FRC,Aberta,"DEXAMETASONA ELIXIR 0,5 MG/ 5 ML SOL ORAL-FRC C/120 ML","R$7,18","R$6.462,00"
170,38,FRC,Aberta,"DEXAMETASONA MICRONIZADA BIFÁSICA 0,001 G,SULFATO DENEOMICINA 0,005 G,SULFATO DE POLIMIXINA B 6000UI,HIPROMELOSE 0,005 G,COLÍRIO COM 5 ML","R$18,06","R$686,28"
171,188,FRC,Aberta,"DEXTRANA 70 0,1%, HIPROMELOSE 0,3% SOLUÇÃO OFTÁLMICALUBRIFICANTE ESTÉRIL - FRC C/ 15 ML","R$20,59","R$3.870,92"
172,11250,COMP,Aberta,DIACEREÍNA 50MG,"R$4,99","R$56.137,50"
173,375,AMP,Aberta,DIAZEPAN 10 MG INJETÁVEL - AMP. C/ 2 ML,"R$1,59","R$596,25"
174,1500,TB,Aberta,"DICLOFENACO DIETILAMÔNIO 11,6 MG/G GEL CREME 60 G","R$6,34","R$9.510,00"
175,10500,CP,Aberta,DICLOFENACO POTÁSSICO 50 MG,"R$0,46","R$4.830,00"
176,10500,COMP,Aberta,DICLOFENACO SÓDICO 50MG,"R$0,36","R$3.780,00"
177,1500,AMP,Aberta,DICLOFENACO SÓDICO 75 MG INJETAVEL - AMP. C/ 3 ML,"R$3,05","R$4.575,00"
178,3750,CP,Aberta,DICLORIDRATO DE FLUNARIZINA 10 MG,"R$0,30","R$1.125,00"
179,900,CP,Aberta,DICLORIDRATO DETRIMETAZIDINA 35 MG,"R$1,86","R$1.674,00"
180,750,AMP,Aberta,"DIMENIDRATO 30 MG + CLORIDRATO DE PIRIDOXINA 50 MG +GLICOSE 1.000 MG + FRUTOSE 1.000 MG/ 10 ML","R$2,59","R$1.942,50"
181,1500,CP,Aberta,DIMENIDRATO 50 MG + PIRIDOXINA 10 MG,"R$0,57","R$855,00"
182,2250,AMP,Aberta,"DIMENIDRATO 50 MG/ML + CLORIDRATO DE PIRIDOXINA 50MG/ML AMP. C/ 1 ML","R$2,12","R$4.770,00"
183,19,FRC,Aberta,DIMETILPOLISILOXANE OPHTALMUS (COLÍRIO),"R$52,37","R$995,03"
184,37500,COMP,Aberta,DIOSMINA 450 MG + HESPERIDINA 50 MG,"R$0,88","R$33.000,00"
185,750,FRC,Aberta,DIPIRONA 500 MG/ML GOTAS  - FR C/ 10 ML,"R$3,33","R$2.497,50"
186,3000,AMP,Aberta,DIPIRONA 500 MG/ML INJETÁVEL AMP. COM 2 ML,"R$2,22","R$6.660,00"
187,7500,COMP,Aberta,DIPIRONA SÓDICA 500 MG,"R$0,40","R$3.000,00"
188,225,FLAC,Aberta,"DIPROPIONATO DE BECLOMETASONA 400 MCG/1 ML - AMPOLAC/ 2 ML","R$5,56","R$1.251,00"
189,188,TB,Aberta,"DIPROPIONATO DE BETAMETASONA 0,64 + SULFATO DEGENTAMICINA 1 G - TB C/ 30 GR POMADA","R$12,35","R$2.321,80"
190,750,AMP,Aberta,"DIPROPIONATO DE BETAMETASONA 5 MG + FOSFATO DISSÓDICODE BETAMETASONA 2 MG - AMP. C/ 1 ML","R$8,83","R$6.622,50"
191,1500,COMP,Aberta,DIVALPROATO DE SÓDIO 250MG,"R$0,54","R$810,00"
192,3375,COMP,Aberta,DIVALPROATO DE SÓDIO ER 500MG,"R$1,19","R$4.016,25"
193,900,COMP,Aberta,DOBESILATO DE CÁLCIO 500MG,"R$2,03","R$1.827,00"
194,18750,CP,Aberta,DOMPERIDONA 10 MG,"R$0,21","R$3.937,50"
195,225,FRC,Aberta,DOMPERIDONA SUSPENÇÃO 1MG/ML FR C/ 100 ML,"R$12,77","R$2.873,25"
196,900,COMP,Aberta,EMPAGLIFLOZINA 25 MG,"R$6,53","R$5.877,00"
197,750,AMP,Aberta,"ENANTATO DE NORETISTERONA 50 MG/ML + VALERATO DEESTRADIOL 5 MG/ML INJETÁVEL","R$24,59","R$18.442,50"
198,2250,CP,Aberta,ESOMEPRAZOL 20 MG,"R$1,75","R$3.937,50"
199,2250,COMP,Aberta,ESOMEPRAZOL 40 MG,"R$2,90","R$6.525,00"
200,1875,COMP,Aberta,ESPIRONOLACTONA 100MG,"R$0,54","R$1.012,50"
201,7500,COMP,Aberta,ESPIRONOLACTONA 25MG,"R$0,25","R$1.875,00"
202,5250,COMP,Aberta,ESPIRONOLACTONA 50MG,"R$0,48","R$2.520,00"
203,3750,COMP,Aberta,"EXTRATO SECO DE MELILOTUS OFFICINALIS LAM.26,7 MG","R$1,98","R$7.425,00"
204,375,AMP,Aberta,FENITOÍNA 50 MG/ML INJETAVEL - AMP. C/ 5 ML,"R$4,49","R$1.683,75"
205,375,AMP,Aberta,FENOBARBITAL 200 MG INJETAVEL - AMP. C/ 1 ML,"R$2,36","R$885,00"
206,300,AMP,Aberta,"FERRIPOLIMALTOSE 100 MG/2ML - INJETÁVEL INTRAMUSCULARAMPOLA COM 2ML","R$14,36","R$4.308,00"
207,6000,COMP,Aberta,FINASTERIDA 5MG,"R$1,59","R$9.540,00"
208,150,AMP,Aberta,FITOMENADIONA 10 MG/ML,"R$2,50","R$375,00"
209,1875,COMP,Aberta,FLUCONAZOL 150MG,"R$2,66","R$4.987,50"
210,3750,COMP,Aberta,FLUVOXAMINA MALEATO 100 MG,"R$4,91","R$18.412,50"
211,3750,COMP,Aberta,"FLUVOXAMINA, MALEATO 50 MG","R$2,73","R$10.237,50"
212,22500,CP,Aberta,FOSFATO DE CODEÍNA 30MG + PARACETAMOL 500 MG,"R$1,15","R$25.875,00"
213,900,COMP,Aberta,"FOSFATO DE SITAGLIPTINA + CLORIDRATO DE METMORFINA50/850MG","R$3,46","R$3.114,00"
214,2250,COMP,Aberta,FOSFATO DE SITAGLIPTINA 25MG,"R$1,81","R$4.072,50"
215,2250,COMP,Aberta,FOSFATO DE SITAGLIPTINA 50MG,"R$3,63","R$8.167,50"
216,1800,COMP,Aberta,"FOSFATO DE SITAGLIPTINA 50MG + CLORIDRATO DEMETFORMINA 1000MG","R$3,45","R$6.210,00"
217,1500,COMP,Aberta,"FOSFATO DISSÓDICO CITIDINA 2,5MG + TRIFOSFATO TRISSÓDICODE URIDINA 1,5MG+ ACET. HIDROXICOBALAMINA 1MG","R$1,92","R$2.880,00"
218,38,FRC,Aberta,"FOSFATO DISSÓDICO DE DEXAMETASONA 1,5MG + SULFATO DENEOMICINA 3,5MG - FRASCO DE 5ML","R$13,40","R$509,20"
219,1500,AMP,Aberta,"FOSFATO DISSÓDICO DE DEXAMETASONA 4 MG +CIANOCOBALAMINA 5000 MCG AMP 1 ML + CLORIDRATO DETIAMINA 100 MG + CLORIDRATO DE PIRIDOXINA 100 MG AMP 1ML  - CX C/ 3 AMP I+ 3 AMP II","R$13,94","R$20.910,00"
